Data source: https://www.minicircuits.com/pdfs/BLP-15+.pdf
Frequency (MHz), Insertion Loss (dB), Standard Deviation (dB), Return Loss (dB), Frequency (MHz), Group Delay (nsec)
1.00, 0.21, 0.04, 24.91, 1.00, 48.07
3.00, 0.26, 0.04, 20.32, 1.10, 47.91
5.00, 0.30, 0.04, 20.46, 1.30, 48.21
7.00, 0.33, 0.05, 25.27, 1.40, 47.67
9.00, 0.38, 0.05, 24.09, 1.60, 48.07
11.00, 0.47, 0.07, 20.00, 1.80, 47.68
13.00, 0.58, 0.07, 19.00, 2.00, 48.30
15.00, 0.81, 0.06, 16.36, 2.30, 48.44
17.00, 2.32, 0.37, 7.61, 2.50, 48.37
19.00, 8.82, 0.63, 2.63, 2.90, 48.63
19.80, 12.25, 0.57, 2.04, 3.20, 48.63
20.60, 15.66, 0.53, 1.72, 3.60, 48.80
21.40, 18.93, 0.50, 1.51, 4.00, 48.88
22.20, 22.02, 0.48, 1.36, 4.60, 49.48
23.00, 24.94, 0.48, 1.25, 5.10, 49.49
23.80, 27.72, 0.47, 1.15, 5.80, 50.43
25.40, 32.87, 0.50, 0.99, 6.50, 50.77
27.10, 37.90, 0.60, 0.86, 7.30, 51.87
28.70, 42.24, 0.70, 0.76, 8.20, 53.05
30.40, 46.55, 0.86, 0.67, 9.30, 54.47
32.00, 50.45, 1.02, 0.60, 10.40, 56.61
33.60, 54.18, 1.48, 0.55, 11.70, 60.33
54.40, 77.82, 6.04, 0.22, 13.10, 66.08
75.20, 77.17, 4.69, 0.12, 15.00, 80.27
96.00, 81.80, 4.39, 0.09, 17.00, 100.53
116.80, 80.95, 4.80, 0.08, 18.80, 81.42
137.60, 80.75, 3.87, 0.07, 21.10, 43.84
158.40, 83.26, 4.95, 0.07, 23.00, 28.31
179.20, 79.58, 3.64, 0.06, 26.60, 15.72
200.00, 80.96, 5.21, 0.06, 30.00, 10.37
